ModelFamily,ModelType,ModelInstance,Places,Transitions,Arcs,ctlBVT2018,ctlSOL2018,global_propertiesBVT2018,global_propertiesSOL2018,ltlBVT2018,ltlSOL2018,reachabilityBVT2018,reachabilitySOL2018,state_spaceBVT2018,state_spaceSOL2018,upper_boundsBVT2018,upper_boundsSOL2018,ctlBVT2019,ctlSOL2019,global_propertiesBVT2019,global_propertiesSOL2019,ltlBVT2019,ltlSOL2019,reachabilityBVT2019,reachabilitySOL2019,state_spaceBVT2019,state_spaceSOL2019,upper_boundsBVT2019,upper_boundsSOL2019,ctlBVT2020,ctlSOL2020,global_propertiesBVT2020,global_propertiesSOL2020,ltlBVT2020,ltlSOL2020,reachabilityBVT2020,reachabilitySOL2020,state_spaceBVT2020,state_spaceSOL2020,upper_boundsBVT2020,upper_boundsSOL2020,ctlBVT2021,ctlSOL2021,global_propertiesBVT2021,global_propertiesSOL2021,ltlBVT2021,ltlSOL2021,reachabilityBVT2021,reachabilitySOL2021,state_spaceBVT2021,state_spaceSOL2021,upper_boundsBVT2021,upper_boundsSOL2021,ctlBVT2022,ctlSOL2022,global_propertiesBVT2022,global_propertiesSOL2022,ltlBVT2022,ltlSOL2022,reachabilityBVT2022,reachabilitySOL2022,state_spaceBVT2022,state_spaceSOL2022,upper_boundsBVT2022,upper_boundsSOL2022,ctlBVT2023,ctlSOL2023,global_propertiesBVT2023,global_propertiesSOL2023,ltlBVT2023,ltlSOL2023,reachabilityBVT2023,reachabilitySOL2023,state_spaceBVT2023,state_spaceSOL2023,upper_boundsBVT2023,upper_boundsSOL2023,ctlBVT2024,ctlSOL2024,global_propertiesBVT2024,global_propertiesSOL2024,ltlBVT2024,ltlSOL2024,reachabilityBVT2024,reachabilitySOL2024,state_spaceBVT2024,state_spaceSOL2024,upper_boundsBVT2024,upper_boundsSOL2024,ctlBVT2025,ctlSOL2025,global_propertiesBVT2025,global_propertiesSOL2025,ltlBVT2025,ltlSOL2025,reachabilityBVT2025,reachabilitySOL2025,state_spaceBVT2025,state_spaceSOL2025,upper_boundsBVT2025,upper_boundsSOL2025
AirplaneLD,PT,0020,159,168,638,32,96,1,3,32,94,32,96,4,12,16,48,32,96,1,3,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48
AirplaneLD,PT,0050,369,408,1553,32,96,1,3,32,88,32,96,4,12,16,48,32,96,1,3,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48
AirplaneLD,PT,0100,719,808,3078,32,96,1,3,32,80,32,96,4,12,16,48,32,94,1,3,32,96,32,96,4,12,16,48,32,96,5,15,32,93,32,96,4,12,16,48,32,87,5,15,32,93,32,96,4,12,16,48,32,95,5,15,32,93,32,96,4,11,16,48,32,94,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48
AirplaneLD,PT,0200,1419,1608,6128,32,96,1,3,32,94,32,96,4,12,16,48,32,87,1,3,32,94,32,96,4,12,16,48,32,93,5,11,32,87,32,96,4,12,16,48,32,88,5,15,32,88,32,96,4,12,16,48,32,85,5,15,32,86,32,96,4,11,16,48,32,94,5,15,32,91,32,96,4,12,16,48,32,89,5,15,32,96,32,96,4,12,16,48,32,86,5,15,32,90,32,96,4,11,16,48
AirplaneLD,PT,0500,3519,4008,15278,32,93,1,3,32,92,32,96,4,12,16,48,32,93,1,3,32,93,32,94,4,12,16,48,32,92,5,10,32,92,32,96,4,12,16,48,32,80,5,15,32,86,32,96,4,12,16,48,32,89,5,15,32,80,32,96,4,11,16,48,32,90,5,15,32,90,32,96,4,12,16,48,32,86,5,15,32,94,32,96,4,12,16,48,32,74,5,15,32,88,32,96,4,11,16,48
AirplaneLD,PT,1000,7019,8008,30528,32,91,1,3,32,94,32,96,4,12,16,48,32,90,1,3,32,93,32,96,4,12,16,48,32,85,5,7,27,59,32,96,4,11,16,48,25,63,5,15,32,90,32,96,4,12,16,48,32,82,5,15,32,93,32,96,4,11,16,48,32,76,5,15,32,92,32,96,4,12,16,48,31,83,5,15,32,95,32,96,4,12,16,48,32,84,5,15,32,90,32,96,4,11,16,48
AirplaneLD,PT,2000,14019,16008,61028,27,48,1,3,27,68,32,96,4,12,16,48,28,80,1,3,31,76,32,96,4,10,16,48,31,77,5,7,28,72,32,96,4,7,16,48,26,62,5,15,32,94,32,96,4,11,16,48,30,73,5,15,32,89,32,96,4,7,16,48,32,84,5,15,32,92,32,96,4,11,16,48,30,79,5,14,32,93,32,96,4,11,16,48,31,79,5,15,32,90,32,96,4,11,16,48
AirplaneLD,PT,4000,28019,32008,122028,27,50,1,3,31,91,32,80,4,12,16,38,29,86,1,3,29,58,32,96,4,7,16,47,26,67,5,7,25,43,32,92,4,7,16,48,28,64,5,15,32,83,32,95,4,11,16,48,29,64,5,14,30,84,32,96,4,7,16,48,31,65,5,15,32,93,32,96,4,11,16,48,29,66,5,15,32,94,32,95,4,11,16,48,28,63,5,15,31,79,32,96,4,11,16,48
Anderson,PT,04,105,200,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48
Anderson,PT,05,161,365,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,13,32,96,32,96,4,11,16,48
Anderson,PT,06,229,600,2280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,95,5,14,32,96,32,96,4,12,16,48,32,95,5,13,32,96,32,96,4,12,16,48,32,87,4,12,32,96,32,96,4,11,16,48
Anderson,PT,07,309,917,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,79,4,12,32,94,32,96,4,12,16,48,32,78,4,12,32,96,32,96,4,12,16,48,31,73,4,11,32,96,32,96,4,11,16,48
Anderson,PT,08,401,1328,5088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,76,4,8,32,94,32,96,3,3,16,48,24,53,4,10,32,95,31,92,3,4,16,48,26,56,4,10,32,96,31,90,3,5,16,48
Anderson,PT,09,505,1845,7092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,79,4,8,32,88,32,96,0,0,16,48,20,45,4,10,32,90,32,96,1,1,16,48,27,61,4,10,32,91,32,96,2,2,16,48
Anderson,PT,10,621,2480,9560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,69,3,7,32,95,32,96,0,0,16,47,20,46,3,8,32,93,32,96,1,1,16,48,22,50,4,9,32,92,32,94,2,2,16,48
Anderson,PT,11,749,3245,12540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,78,3,7,29,86,32,96,0,0,16,47,27,71,3,8,28,81,32,96,1,1,16,48,23,51,3,8,29,86,31,92,2,2,16,48
Anderson,PT,12,889,4152,16080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,68,3,7,32,94,31,90,0,0,16,48,24,54,3,8,31,92,30,88,1,1,16,48,24,50,3,8,30,89,30,88,2,2,16,48
Angiogenesis,PT,01,39,64,185,32,96,1,3,32,96,32,96,4,12,16,48,32,96,1,3,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,11,16,48
Angiogenesis,PT,05,39,64,185,32,96,1,3,32,95,32,96,4,12,16,48,32,96,1,3,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,94,5,15,32,96,32,96,4,12,16,48,32,94,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,90,5,15,32,96,32,96,4,12,16,48,32,78,5,15,32,96,32,96,4,11,16,48
Angiogenesis,PT,10,39,64,185,32,90,1,3,32,96,32,96,4,12,16,48,31,88,1,3,32,95,32,95,4,12,16,48,32,86,5,10,32,94,32,96,4,12,16,48,31,87,5,15,32,96,32,96,4,12,16,48,32,67,5,15,32,96,32,96,4,12,16,48,32,95,5,15,32,96,32,96,4,12,16,48,24,69,5,15,32,96,32,96,4,12,16,48,21,45,5,15,32,96,32,96,4,11,16,47
Angiogenesis,PT,15,39,64,185,30,70,1,3,32,96,32,96,4,12,16,48,28,73,1,2,32,95,32,96,4,12,16,48,31,83,4,9,32,94,32,96,4,12,16,48,23,61,5,14,32,96,32,96,4,12,16,48,24,55,5,15,32,96,32,96,4,12,16,48,26,69,5,15,32,94,32,96,4,12,16,48,16,37,5,15,31,93,32,96,4,12,16,48,18,38,5,14,32,95,32,96,4,11,16,47
Angiogenesis,PT,20,39,64,185,30,69,1,3,32,96,32,96,4,12,16,48,27,76,1,3,32,96,32,96,4,11,16,48,29,75,4,9,32,96,32,96,4,11,16,48,24,59,5,14,32,96,32,96,4,7,16,48,22,49,5,14,32,96,32,94,4,7,16,48,24,66,5,15,32,96,32,96,4,12,16,48,22,55,5,15,32,96,32,96,3,6,16,48,19,43,5,15,32,96,32,94,3,3,16,47
Angiogenesis,PT,25,39,64,185,30,52,1,3,32,96,32,96,4,4,16,26,28,79,1,3,32,96,32,96,4,8,16,43,31,76,4,9,32,87,32,96,4,4,16,48,23,54,5,14,32,96,32,96,4,4,16,48,14,28,5,14,32,96,32,96,4,4,16,48,22,60,5,15,32,96,32,96,4,4,16,48,17,40,5,15,32,96,32,96,0,0,16,48,16,37,5,14,32,96,32,96,0,0,16,47
Angiogenesis,PT,50,39,64,185,26,40,0,0,32,96,32,96,0,0,14,14,27,75,0,0,32,82,32,96,0,0,15,37,27,72,5,6,32,93,32,95,0,0,15,39,26,61,5,13,32,96,32,96,0,0,16,47,14,31,5,14,32,96,32,95,0,0,16,48,19,52,5,15,32,96,32,96,0,0,16,47,11,24,5,14,32,96,32,96,0,0,16,46,18,41,5,14,32,96,32,96,0,0,16,45
ARMCacheCoherence,PT,none,87,33676,246935,32,96,1,3,32,96,32,96,4,12,16,48,32,90,1,3,32,96,32,96,4,12,16,48,32,95,5,9,32,96,32,96,4,12,16,48,32,93,5,15,32,96,32,96,4,12,16,48,32,84,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,86,5,15,32,96,32,96,4,12,16,48,32,78,5,14,32,96,32,96,4,11,16,48
ASLink,PT,01a,431,735,2801,32,96,1,3,32,96,32,96,4,11,16,48,32,95,1,3,32,95,32,96,4,12,16,48,32,95,5,12,32,94,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,92,5,15,32,96,32,96,4,12,16,48,32,96,5,15,32,95,32,96,4,12,16,48,32,96,5,15,32,96,32,96,4,12,16,48,32,94,5,15,32,96,32,96,4,11,16,48
ASLink,PT,01b,846,1148,3624,31,51,1,3,32,89,32,83,4,4,16,27,31,88,1,3,32,91,32,92,4,7,16,43,31,89,3,5,30,86,32,96,4,11,16,42,32,86,5,15,32,90,32,96,4,12,16,48,29,70,5,14,32,94,32,96,4,12,16,48,30,88,5,15,32,96,32,96,4,12,16,48,30,85,5,15,32,95,32,96,4,12,16,48,31,72,5,14,32,91,32,96,4,11,16,48
ASLink,PT,02a,626,1008,3820,32,72,1,3,32,95,32,77,4,11,16,44,32,86,1,3,32,95,32,82,4,12,16,48,32,93,5,8,30,82,32,96,4,12,16,47,30,84,5,13,32,91,32,95,4,12,16,48,31,71,5,15,31,90,32,96,4,12,16,48,30,81,5,15,32,86,32,96,4,12,16,48,25,65,5,15,31,91,32,96,4,12,16,48,29,58,5,13,32,83,32,92,4,11,16,48
ASLink,PT,02b,1242,1621,5041,32,62,1,3,31,80,27,68,0,0,6,6,31,83,1,3,32,93,31,89,0,0,15,34,31,86,3,5,29,80,32,93,0,0,16,45,28,74,5,11,30,86,32,92,0,0,16,38,28,59,5,13,30,84,32,96,0,0,16,46,26,70,5,13,31,89,32,92,0,0,16,46,24,50,5,14,31,90,32,96,0,0,16,46,25,51,5,13,32,92,32,91,1,1,16,48
ASLink,PT,03a,821,1281,4839,30,59,1,3,32,90,32,75,4,11,16,39,28,77,1,3,32,93,32,90,4,12,16,48,31,89,5,8,31,90,32,95,4,12,16,47,31,88,5,13,32,88,32,94,4,12,16,43,28,63,5,14,32,91,31,93,4,12,16,48,32,88,5,13,32,88,32,92,4,12,16,48,29,70,5,15,32,92,31,88,4,12,16,48,30,68,5,13,32,80,30,78,4,11,16,48
ASLink,PT,03b,1638,2094,6458,24,44,1,3,29,71,25,58,0,0,13,15,27,70,1,3,31,86,27,73,0,0,14,30,28,75,3,5,23,63,32,92,0,0,16,41,27,72,5,11,30,88,32,90,0,0,15,41,26,57,5,12,32,93,32,95,0,0,15,40,23,68,5,12,31,87,32,94,0,0,16,44,25,63,5,13,30,84,32,94,0,0,16,44,22,45,5,13,31,84,32,85,1,1,16,46
ASLink,PT,04a,1016,1554,5858,28,53,1,3,32,93,24,51,4,7,16,23,27,79,1,3,30,90,26,71,4,8,16,41,31,86,3,5,30,84,32,82,4,11,14,31,30,83,5,12,31,90,32,95,4,12,16,46,27,60,5,12,31,85,32,93,4,12,16,43,26,67,5,14,32,84,32,93,4,12,16,47,26,60,5,14,30,80,31,87,4,12,16,48,24,51,5,12,32,84,32,82,4,11,16,47
ASLink,PT,04b,2034,2567,7875,25,45,1,3,29,57,29,59,0,0,12,13,23,62,1,3,32,79,25,70,0,0,14,34,28,76,3,5,26,73,31,85,0,0,16,40,23,53,5,11,30,87,32,89,0,0,14,40,22,47,5,12,27,75,32,93,0,0,15,39,23,61,4,11,32,86,32,89,0,0,16,47,25,57,5,12,28,79,32,92,0,0,16,46,22,44,5,12,31,85,30,85,1,1,16,46
ASLink,PT,05a,1211,1827,6877,28,54,1,3,32,95,32,75,3,3,16,25,25,69,1,3,29,82,32,66,4,7,16,42,30,84,3,5,30,79,32,81,4,11,16,41,29,78,5,11,29,83,31,84,4,11,14,38,23,49,5,12,31,87,31,86,4,11,16,45,29,74,5,12,30,82,32,78,4,11,13,38,27,59,5,14,29,80,31,87,4,11,16,40,25,54,5,12,32,89,32,88,4,11,16,45
ASLink,PT,05b,2430,3040,9292,21,37,1,3,31,65,22,50,0,0,12,13,27,72,1,3,28,64,26,67,0,0,16,33,27,76,3,5,26,72,32,90,0,0,14,34,24,53,5,11,29,84,32,86,0,0,16,39,21,43,5,12,32,90,32,93,0,0,15,41,22,58,4,11,31,86,32,91,0,0,15,44,22,46,5,13,24,65,31,88,0,0,16,44,23,45,5,12,31,92,28,74,1,1,16,47
ASLink,PT,06a,1406,2100,7896,23,42,1,3,30,90,32,70,3,3,16,23,25,70,1,3,30,85,22,63,4,7,16,38,28,76,3,5,31,89,32,79,4,11,14,33,29,80,4,10,30,89,32,85,4,8,16,38,20,40,4,11,32,90,32,92,4,11,15,42,21,50,4,11,31,88,31,84,4,9,15,44,25,50,5,13,29,78,32,93,4,11,16,47,27,58,5,12,30,82,32,90,4,11,16,47
ASLink,PT,06b,2826,3513,10709,22,38,1,2,32,62,25,46,0,0,9,10,28,76,1,2,27,70,22,59,0,0,16,38,29,73,3,5,29,80,32,87,0,0,14,33,26,68,4,10,27,80,32,89,0,0,16,41,25,53,4,11,32,85,30,85,0,0,15,41,21,49,4,11,30,87,32,94,0,0,16,48,19,41,4,12,28,77,32,94,0,0,16,48,19,38,4,11,29,80,32,91,1,1,16,45
ASLink,PT,07a,1601,2373,8915,29,53,1,3,27,77,25,52,0,0,8,8,21,54,1,3,32,85,21,49,4,4,13,30,30,80,3,5,28,78,32,82,4,8,13,29,29,73,4,10,30,83,31,87,4,8,15,36,24,55,4,11,29,82,32,92,4,8,15,40,25,60,5,12,31,91,31,83,4,9,15,43,22,57,5,14,31,89,31,90,4,8,16,42,21,43,5,12,30,81,31,82,4,8,16,40
ASLink,PT,07b,3222,3986,12126,28,50,1,2,28,65,22,44,0,0,10,11,29,77,1,1,30,70,25,62,0,0,13,27,27,73,3,5,27,71,32,80,0,0,12,33,28,61,4,10,29,84,31,88,0,0,15,42,19,40,4,11,31,91,31,88,0,0,14,39,21,58,4,11,31,83,32,89,0,0,15,44,24,55,4,12,26,73,32,96,0,0,16,44,23,48,4,11,29,84,32,90,1,1,16,43
ASLink,PT,08a,1796,2646,9934,22,37,1,3,30,73,19,38,0,0,7,7,26,69,1,3,30,74,20,53,4,4,15,36,31,87,3,5,28,75,31,77,4,8,10,27,28,74,4,10,32,87,32,90,4,11,15,40,22,45,4,11,30,86,28,70,4,8,15,38,20,46,4,11,30,86,29,76,4,9,14,42,24,51,5,12,29,84,31,89,4,8,16,38,17,34,4,11,28,83,30,80,4,8,16,42
ASLink,PT,08b,3618,4459,13543,25,43,1,2,30,62,19,36,0,0,9,9,25,68,1,2,27,61,22,54,0,0,16,28,26,65,2,4,27,74,32,77,0,0,15,33,25,60,4,10,28,80,30,79,0,0,15,32,20,45,4,11,28,78,31,87,0,0,13,35,24,60,4,11,29,83,32,92,0,0,16,48,22,44,4,12,26,75,31,92,0,0,16,48,18,38,4,11,31,93,30,83,1,1,16,45
ASLink,PT,09a,1991,2919,10953,22,39,1,3,31,74,17,39,0,0,9,9,27,65,1,3,29,79,23,56,4,4,12,23,31,79,3,5,26,73,31,83,4,8,10,26,26,69,4,10,27,76,30,81,4,8,16,37,16,34,4,11,30,83,31,84,4,8,13,33,25,68,4,11,30,81,30,80,4,9,16,46,21,45,4,12,27,77,30,83,4,8,16,46,16,32,4,11,29,83,30,78,4,8,16,42
ASLink,PT,09b,4014,4932,14960,25,46,1,2,24,53,22,39,0,0,13,15,24,63,1,2,25,61,26,63,0,0,15,30,28,65,2,4,28,74,32,84,0,0,12,30,24,58,4,9,29,76,32,91,0,0,14,32,21,46,4,11,26,76,30,84,0,0,14,36,20,48,4,11,29,85,31,83,0,0,16,47,21,45,4,12,29,87,30,84,0,0,16,46,23,47,4,11,30,86,24,63,1,1,16,43
