Model,Places,Transitions,Arcs
AutoFlight-PT-03a,82,80,260
AutoFlight-PT-03b,298,296,692
AutoFlight-PT-04a,107,105,340
AutoFlight-PT-04b,390,388,906
AutoFlight-PT-05a,132,130,420
AutoFlight-PT-05b,482,480,1120
AutoFlight-PT-06a,157,155,500
AutoFlight-PT-06b,574,572,1334
AutoFlight-PT-12a,307,305,980
AutoFlight-PT-12b,1126,1124,2618
AutoFlight-PT-24a,607,605,1940
AutoFlight-PT-24b,2230,2228,5186
AutoFlight-PT-48a,1127,1113,3458
AutoFlight-PT-48b,3950,3936,9104
AutoFlight-PT-96a,2251,2225,6914
AutoFlight-PT-96b,7894,7868,18200
AutonomousCar-PT-01a,25,35,143
AutonomousCar-PT-01b,119,132,339
AutonomousCar-PT-02a,33,69,368
AutonomousCar-PT-02b,155,194,620
AutonomousCar-PT-03a,41,121,745
AutonomousCar-PT-03b,190,273,1051
AutonomousCar-PT-04a,49,193,1306
AutonomousCar-PT-04b,221,368,1658
AutonomousCar-PT-05a,57,289,2123
AutonomousCar-PT-05b,255,490,2527
AutonomousCar-PT-06a,65,417,3356
AutonomousCar-PT-06b,289,644,3812
AutonomousCar-PT-07a,73,593,5357
AutonomousCar-PT-07b,323,846,5865
AutonomousCar-PT-08a,81,849,8894
AutonomousCar-PT-08b,357,1128,9454
AutonomousCar-PT-09a,89,1249,15631
AutonomousCar-PT-09b,391,1554,16243
AutonomousCar-PT-10a,97,1921,29152
AutonomousCar-PT-10b,425,2252,29816
BART-COL-002,4,7,26
BART-COL-005,4,7,26
BART-COL-010,4,7,26
BART-COL-020,4,7,26
BART-COL-030,4,7,26
BART-COL-040,4,7,26
BART-COL-050,4,7,26
BART-COL-060,4,7,26
BART-PT-002,474,404,3240
BART-PT-005,870,1010,8100
BART-PT-010,1530,2020,16200
BART-PT-020,2850,4040,32400
BART-PT-030,4170,6060,48600
BART-PT-040,5490,8080,64800
BART-PT-050,6810,10100,81000
BART-PT-060,8130,12120,97200
BridgeAndVehicles-COL-V04P05N02,15,11,56
BridgeAndVehicles-COL-V10P10N10,15,11,56
BridgeAndVehicles-COL-V20P10N10,15,11,56
BridgeAndVehicles-COL-V20P10N20,15,11,56
BridgeAndVehicles-COL-V20P10N50,15,11,56
BridgeAndVehicles-COL-V20P20N10,15,11,56
BridgeAndVehicles-COL-V20P20N20,15,11,56
BridgeAndVehicles-COL-V20P20N50,15,11,56
BridgeAndVehicles-COL-V50P20N10,15,11,56
BridgeAndVehicles-COL-V50P20N20,15,11,56
BridgeAndVehicles-COL-V50P20N50,15,11,56
BridgeAndVehicles-COL-V50P50N10,15,11,56
BridgeAndVehicles-COL-V50P50N20,15,11,56
BridgeAndVehicles-COL-V50P50N50,15,11,56
BridgeAndVehicles-COL-V80P20N10,15,11,56
BridgeAndVehicles-COL-V80P20N20,15,11,56
BridgeAndVehicles-COL-V80P20N50,15,11,56
BridgeAndVehicles-COL-V80P50N10,15,11,56
BridgeAndVehicles-COL-V80P50N20,15,11,56
BridgeAndVehicles-COL-V80P50N50,15,11,56
BridgeAndVehicles-PT-V04P05N02,28,52,326
BridgeAndVehicles-PT-V10P10N10,48,288,2090
BridgeAndVehicles-PT-V20P10N10,68,548,4070
BridgeAndVehicles-PT-V20P10N20,78,968,7350
BridgeAndVehicles-PT-V20P10N50,108,2228,17190
BridgeAndVehicles-PT-V20P20N10,68,548,4070
BridgeAndVehicles-PT-V20P20N20,78,968,7350
BridgeAndVehicles-PT-V20P20N50,108,2228,17190
BridgeAndVehicles-PT-V50P20N10,128,1328,10010
BridgeAndVehicles-PT-V50P20N20,138,2348,18090
BridgeAndVehicles-PT-V50P20N50,168,5408,42330
BridgeAndVehicles-PT-V50P50N10,128,1328,10010
BridgeAndVehicles-PT-V50P50N20,138,2348,18090
BridgeAndVehicles-PT-V50P50N50,168,5408,42330
BridgeAndVehicles-PT-V80P20N10,188,2108,15950
BridgeAndVehicles-PT-V80P20N20,198,3728,28830
BridgeAndVehicles-PT-V80P20N50,228,8588,67470
BridgeAndVehicles-PT-V80P50N10,188,2108,15950
BridgeAndVehicles-PT-V80P50N20,198,3728,28830
BridgeAndVehicles-PT-V80P50N50,228,8588,67470
BugTracking-PT-q3m002,754,27370,136172
BugTracking-PT-q3m004,754,27370,136172
BugTracking-PT-q3m008,754,27370,136172
BugTracking-PT-q3m016,754,27370,136172
BugTracking-PT-q3m032,754,27370,136172
BugTracking-PT-q3m064,754,27370,136172
BugTracking-PT-q3m128,754,27370,136172
BugTracking-PT-q3m256,754,27370,136172
BugTracking-PT-q8m002,754,27370,136172
BugTracking-PT-q8m004,754,27370,136172
BugTracking-PT-q8m008,754,27370,136172
BugTracking-PT-q8m016,754,27370,136172
BugTracking-PT-q8m032,754,27370,136172
BugTracking-PT-q8m064,754,27370,136172
BugTracking-PT-q8m128,754,27370,136172
BugTracking-PT-q8m256,754,27370,136172
BusinessProcesses-PT-01,200,178,487
BusinessProcesses-PT-02,262,219,576
BusinessProcesses-PT-03,274,237,632
BusinessProcesses-PT-04,288,283,916
BusinessProcesses-PT-05,368,319,854
BusinessProcesses-PT-06,376,297,830
BusinessProcesses-PT-07,386,360,1110
BusinessProcesses-PT-08,393,344,911
BusinessProcesses-PT-09,403,374,1148
BusinessProcesses-PT-10,518,471,1415
BusinessProcesses-PT-11,567,508,1512
BusinessProcesses-PT-12,586,525,1560
BusinessProcesses-PT-13,593,536,1582
BusinessProcesses-PT-14,624,564,1657
BusinessProcesses-PT-15,630,566,1666
BusinessProcesses-PT-16,638,578,1694
BusinessProcesses-PT-17,650,580,1709
BusinessProcesses-PT-18,717,642,1860
BusinessProcesses-PT-19,772,685,1981
BusinessProcesses-PT-20,782,697,2011
CANConstruction-PT-005,112,140,400
CANConstruction-PT-010,322,480,1400
CANConstruction-PT-020,1042,1760,5200
CANConstruction-PT-030,2162,3840,11400
CANConstruction-PT-040,3682,6720,20000
CANConstruction-PT-050,5602,10400,31000
CANConstruction-PT-060,7922,14880,44400
CANConstruction-PT-070,10642,20160,60200
CANConstruction-PT-080,13762,26240,78400
CANConstruction-PT-090,17282,33120,99000
CANConstruction-PT-100,21202,40800,122000
CANInsertWithFailure-PT-005,114,180,500
CANInsertWithFailure-PT-010,324,660,1800
CANInsertWithFailure-PT-020,1044,2520,6800
CANInsertWithFailure-PT-030,2164,5580,15000
CANInsertWithFailure-PT-040,3684,9840,26400
CANInsertWithFailure-PT-050,5604,15300,41000
CANInsertWithFailure-PT-060,7924,21960,58800
CANInsertWithFailure-PT-070,10644,29820,79800
CANInsertWithFailure-PT-080,13764,38880,104000
CANInsertWithFailure-PT-090,17284,49140,131400
CANInsertWithFailure-PT-100,21204,60600,162000
CircadianClock-PT-000001,14,16,58
CircadianClock-PT-000010,14,16,58
CircadianClock-PT-000100,14,16,58
CircadianClock-PT-001000,14,16,58
CircadianClock-PT-010000,14,16,58
CircadianClock-PT-100000,14,16,58
CircularTrains-PT-012,24,12,48
CircularTrains-PT-024,48,24,96
CircularTrains-PT-048,96,48,192
CircularTrains-PT-096,192,96,384
CircularTrains-PT-192,384,192,768
CircularTrains-PT-384,768,384,1536
CircularTrains-PT-768,1536,768,3072
ClientsAndServers-PT-N0001P0,25,18,54
ClientsAndServers-PT-N0002P0,25,18,54
ClientsAndServers-PT-N0002P1,25,18,54
ClientsAndServers-PT-N0005P0,25,18,54
ClientsAndServers-PT-N0005P1,25,18,54
ClientsAndServers-PT-N0010P0,25,18,54
ClientsAndServers-PT-N0010P1,25,18,54
ClientsAndServers-PT-N0010P2,25,18,54
ClientsAndServers-PT-N0020P0,25,18,54
ClientsAndServers-PT-N0020P1,25,18,54
ClientsAndServers-PT-N0020P2,25,18,54
ClientsAndServers-PT-N0020P3,25,18,54
ClientsAndServers-PT-N0020P4,25,18,54
ClientsAndServers-PT-N0050P0,25,18,54
ClientsAndServers-PT-N0100P0,25,18,54
ClientsAndServers-PT-N0200P0,25,18,54
ClientsAndServers-PT-N0500P0,25,18,54
ClientsAndServers-PT-N1000P0,25,18,54
ClientsAndServers-PT-N2000P0,25,18,54
ClientsAndServers-PT-N5000P0,25,18,54
CloudDeployment-PT-2a,69,174,821
CloudDeployment-PT-2b,556,684,1987
CloudDeployment-PT-3a,104,308,1611
CloudDeployment-PT-3b,859,1152,4030
CloudDeployment-PT-4a,141,475,2657
CloudDeployment-PT-4b,1182,1824,8741
CloudDeployment-PT-5a,180,675,3959
CloudDeployment-PT-5b,1525,3132,24760
CloudDeployment-PT-6a,221,908,5517
CloudDeployment-PT-6b,1888,6804,91831
CloudDeployment-PT-7a,264,1174,7331
CloudDeployment-PT-7b,2271,19752,389666
CloudOpsManagement-PT-00002by00001,27,29,94
CloudOpsManagement-PT-00005by00002,27,29,94
CloudOpsManagement-PT-00010by00005,27,29,94
CloudOpsManagement-PT-00020by00010,27,29,94
CloudOpsManagement-PT-00040by00020,27,29,94
CloudOpsManagement-PT-00080by00040,27,29,94
CloudOpsManagement-PT-00160by00080,27,29,94
CloudOpsManagement-PT-00320by00160,27,29,94
CloudOpsManagement-PT-00640by00320,27,29,94
CloudOpsManagement-PT-01280by00640,27,29,94
CloudOpsManagement-PT-02560by01280,27,29,94
CloudOpsManagement-PT-05120by02560,27,29,94
CloudOpsManagement-PT-10240by05120,27,29,94
CloudOpsManagement-PT-20480by10240,27,29,94
CloudReconfiguration-PT-301,2584,3094,6459
CloudReconfiguration-PT-302,2585,3095,6463
CloudReconfiguration-PT-303,2584,3094,6459
CloudReconfiguration-PT-304,2584,3094,6459
CloudReconfiguration-PT-305,2585,3095,6463
CloudReconfiguration-PT-306,2584,3094,6459
CloudReconfiguration-PT-307,2584,3094,6459
CloudReconfiguration-PT-308,2585,3095,6463
CloudReconfiguration-PT-309,2585,3095,6463
CloudReconfiguration-PT-310,2585,3095,6463
CloudReconfiguration-PT-311,2585,3095,6463
CloudReconfiguration-PT-312,2585,3095,6463
CloudReconfiguration-PT-313,2585,3095,6463
CloudReconfiguration-PT-314,2585,3095,6463
CloudReconfiguration-PT-315,2585,3095,6463
CloudReconfiguration-PT-316,2585,3095,6463
CloudReconfiguration-PT-317,2587,3099,6479
CloudReconfiguration-PT-318,2587,3099,6479
CloudReconfiguration-PT-319,2587,3099,6479
CloudReconfiguration-PT-320,2587,3099,6479
CloudReconfiguration-PT-401,3554,4263,8889
CloudReconfiguration-PT-402,3554,4263,8889
CryptoMiner-COL-D03N000,2,4,10
CryptoMiner-COL-D03N010,3,5,14
CryptoMiner-COL-D03N100,3,5,14
CryptoMiner-COL-D05N000,2,4,10
CryptoMiner-COL-D05N100,3,5,14
CryptoMiner-COL-D05N250,3,5,14
CryptoMiner-COL-D10N000,2,4,10
CryptoMiner-COL-D10N100,3,5,14
CryptoMiner-COL-D20N100,3,5,14
CryptoMiner-PT-D03N000,8,8,22
CryptoMiner-PT-D03N010,12,12,34
CryptoMiner-PT-D03N100,12,12,34
CryptoMiner-PT-D05N000,12,12,34
CryptoMiner-PT-D05N100,18,18,52
CryptoMiner-PT-D05N250,18,18,52
CryptoMiner-PT-D10N000,22,22,64
CryptoMiner-PT-D10N100,33,33,97
CryptoMiner-PT-D20N100,63,63,187
CSRepetitions-COL-02,6,5,15
CSRepetitions-COL-03,6,5,15
CSRepetitions-COL-04,6,5,15
CSRepetitions-COL-05,6,5,15
CSRepetitions-COL-07,6,5,15
CSRepetitions-COL-10,6,5,15
CSRepetitions-PT-02,23,28,92
CSRepetitions-PT-03,58,81,279
CSRepetitions-PT-04,117,176,624
CSRepetitions-PT-05,206,325,1175
CSRepetitions-PT-07,498,833,3087
CSRepetitions-PT-10,1311,2300,8700
DatabaseWithMutex-COL-02,11,8,22
DatabaseWithMutex-COL-04,11,8,22
DatabaseWithMutex-COL-10,11,8,22
DatabaseWithMutex-COL-20,11,8,22
DatabaseWithMutex-COL-40,11,8,22
DatabaseWithMutex-PT-02,38,32,88
DatabaseWithMutex-PT-04,140,128,416
DatabaseWithMutex-PT-10,830,800,3800
DatabaseWithMutex-PT-20,3260,3200,23200
DatabaseWithMutex-PT-40,12920,12800,156800
DBSingleClientW-PT-d0m04,553,150,600
DBSingleClientW-PT-d0m05,553,150,600
DBSingleClientW-PT-d0m06,553,150,600
DBSingleClientW-PT-d0m07,553,150,600
DBSingleClientW-PT-d0m08,553,150,600
DBSingleClientW-PT-d0m09,553,150,600
DBSingleClientW-PT-d0m10,553,150,600
DBSingleClientW-PT-d1m04,1440,672,2688
DBSingleClientW-PT-d1m05,1440,672,2688
DBSingleClientW-PT-d1m06,1440,672,2688
DBSingleClientW-PT-d1m07,1440,672,2688
DBSingleClientW-PT-d1m08,1440,672,2688
DBSingleClientW-PT-d1m09,1440,672,2688
DBSingleClientW-PT-d1m10,1440,672,2688
DBSingleClientW-PT-d2m04,4763,2478,9912
DBSingleClientW-PT-d2m05,4763,2478,9912
DBSingleClientW-PT-d2m06,4763,2478,9912
DBSingleClientW-PT-d2m07,4763,2478,9912
DBSingleClientW-PT-d2m08,4763,2478,9912
DBSingleClientW-PT-d2m09,4763,2478,9912
DBSingleClientW-PT-d2m10,4763,2478,9912
Dekker-PT-010,50,120,820
Dekker-PT-015,75,255,1830
Dekker-PT-020,100,440,3240
Dekker-PT-050,250,2600,20100
Dekker-PT-100,500,10200,80200
Dekker-PT-200,1000,40400,320400
DES-PT-00a,115,76,373
DES-PT-00b,271,230,658
DES-PT-01a,119,76,381
DES-PT-01b,284,235,683
DES-PT-02a,123,80,400
DES-PT-02b,288,239,699
DES-PT-05a,135,92,457
DES-PT-05b,300,251,747
DES-PT-10a,155,112,552
DES-PT-10b,320,271,827
DES-PT-20a,195,152,742
DES-PT-20b,360,311,987
DES-PT-30a,234,191,926
DES-PT-30b,399,350,1143
DES-PT-40a,274,231,1116
DES-PT-40b,439,390,1303
DES-PT-50a,314,271,1306
DES-PT-50b,479,430,1463
DES-PT-60a,354,311,1496
DES-PT-60b,519,470,1623
Diffusion2D-PT-D05N010,25,144,288
Diffusion2D-PT-D05N050,25,144,288
Diffusion2D-PT-D05N100,25,144,288
Diffusion2D-PT-D05N150,25,144,288
Diffusion2D-PT-D05N200,25,144,288
Diffusion2D-PT-D05N250,25,144,288
Diffusion2D-PT-D05N300,25,144,288
Diffusion2D-PT-D05N350,25,144,288
Diffusion2D-PT-D10N010,100,684,1368
Diffusion2D-PT-D10N050,100,684,1368
Diffusion2D-PT-D10N100,100,684,1368
Diffusion2D-PT-D10N150,100,684,1368
Diffusion2D-PT-D10N200,100,684,1368
Diffusion2D-PT-D20N010,400,2964,5928
Diffusion2D-PT-D20N050,400,2964,5928
Diffusion2D-PT-D20N100,400,2964,5928
Diffusion2D-PT-D20N150,400,2964,5928
Diffusion2D-PT-D30N010,900,6844,13688
Diffusion2D-PT-D30N050,900,6844,13688
Diffusion2D-PT-D30N100,900,6844,13688
Diffusion2D-PT-D30N150,900,6844,13688
Diffusion2D-PT-D40N010,1600,12324,24648
Diffusion2D-PT-D40N050,1600,12324,24648
Diffusion2D-PT-D40N100,1600,12324,24648
Diffusion2D-PT-D40N150,1600,12324,24648
Diffusion2D-PT-D50N010,2500,19404,38808
Diffusion2D-PT-D50N050,2500,19404,38808
Diffusion2D-PT-D50N100,2500,19404,38808
Diffusion2D-PT-D50N150,2500,19404,38808
DiscoveryGPU-PT-06a,63,85,273
DiscoveryGPU-PT-06b,184,194,503
DiscoveryGPU-PT-07a,73,99,318
DiscoveryGPU-PT-07b,212,224,582
DiscoveryGPU-PT-08a,83,113,363
DiscoveryGPU-PT-08b,240,254,661
DiscoveryGPU-PT-09a,93,127,408
DiscoveryGPU-PT-09b,268,284,740
DiscoveryGPU-PT-10a,103,141,453
DiscoveryGPU-PT-10b,296,314,819
DiscoveryGPU-PT-11a,113,155,498
DiscoveryGPU-PT-11b,324,344,898
DiscoveryGPU-PT-12a,123,169,543
DiscoveryGPU-PT-12b,352,374,977
DiscoveryGPU-PT-13a,133,183,588
DiscoveryGPU-PT-13b,380,404,1056
DiscoveryGPU-PT-14a,143,197,633
DiscoveryGPU-PT-14b,408,434,1135
DiscoveryGPU-PT-15a,153,211,678
DiscoveryGPU-PT-15b,436,464,1214
DLCflexbar-PT-2a,353,2169,8205
DLCflexbar-PT-2b,4456,6272,16411
DLCflexbar-PT-3a,581,3891,14956
DLCflexbar-PT-3b,7245,10555,28284
DLCflexbar-PT-4a,927,6615,25705
DLCflexbar-PT-4b,11440,17128,46731
DLCflexbar-PT-5a,1415,10593,41484
DLCflexbar-PT-5b,17305,26483,73264
DLCflexbar-PT-6a,2069,16077,63325
DLCflexbar-PT-6b,25104,39112,109395
DLCflexbar-PT-7a,2913,23319,92260
DLCflexbar-PT-7b,35101,55507,156636
DLCflexbar-PT-8a,3971,32571,129321
DLCflexbar-PT-8b,47560,76160,216499
DLCround-PT-03a,113,617,2269
DLCround-PT-03b,1383,1887,4809
DLCround-PT-04a,139,823,3074
DLCround-PT-04b,1680,2364,6156
DLCround-PT-05a,167,1055,3985
DLCround-PT-05b,1999,2887,7649
DLCround-PT-06a,197,1313,5002
DLCround-PT-06b,2340,3456,9288
DLCround-PT-07a,229,1597,6125
DLCround-PT-07b,2703,4071,11073
DLCround-PT-08a,263,1907,7354
DLCround-PT-08b,3088,4732,13004
DLCround-PT-09a,299,2243,8689
DLCround-PT-09b,3495,5439,15081
DLCround-PT-10a,337,2605,10130
DLCround-PT-10b,3924,6192,17304
DLCround-PT-11a,377,2993,11677
DLCround-PT-11b,4375,6991,19673
DLCround-PT-12a,419,3407,13330
DLCround-PT-12b,4848,7836,22188
DLCround-PT-13a,463,3847,15089
DLCround-PT-13b,5343,8727,24849
DLCshifumi-PT-2a,188,888,3166
DLCshifumi-PT-2b,2483,3183,7756
DLCshifumi-PT-3a,544,3097,11545
DLCshifumi-PT-3b,7058,9611,24573
DLCshifumi-PT-4a,1178,7504,28610
DLCshifumi-PT-4b,15015,21341,56284
DLCshifumi-PT-5a,2162,14865,57457
DLCshifumi-PT-5b,27146,39849,107425
DLCshifumi-PT-6a,3568,25936,101182
DLCshifumi-PT-6b,44243,66611,182532
DNAwalker-PT-01track12Block1,13,82,241
DNAwalker-PT-02track12Block2,14,84,244
DNAwalker-PT-03track12BlockBoth,14,84,244
DNAwalker-PT-04track28LL,34,250,728
DNAwalker-PT-05track28LR,34,250,728
DNAwalker-PT-06track28RL,34,250,728
DNAwalker-PT-07track28RR,34,250,728
DNAwalker-PT-08ringLL,27,260,760
DNAwalker-PT-09ringLR,27,260,760
DNAwalker-PT-10ringRL,27,260,760
DNAwalker-PT-11ringRR,27,260,760
DNAwalker-PT-12ringLLLarge,33,312,916
DNAwalker-PT-13ringRLLarge,33,312,916
DNAwalker-PT-14ringLRLarge,33,312,916
DNAwalker-PT-15ringRRLarge,33,312,916
DNAwalker-PT-16redondantChoiceR,43,490,1438
DNAwalker-PT-17redondantChoiceL,43,490,1438
DNAwalker-PT-18lozangeBlock,164,3697,10898
DoubleExponent-PT-001,57,48,135
DoubleExponent-PT-002,110,98,276
DoubleExponent-PT-003,163,148,417
DoubleExponent-PT-004,216,198,558
DoubleExponent-PT-010,534,498,1404
DoubleExponent-PT-020,1064,998,2814
DoubleExponent-PT-100,5304,4998,14094
DoubleExponent-PT-200,10604,9998,28194
DoubleLock-PT-p1s1,64,204,828
DoubleLock-PT-p1s2,570,7600,30784
DoubleLock-PT-p1s3,570,7568,30656
DoubleLock-PT-p2s1,64,212,860
DoubleLock-PT-p2s2,184,1832,7424
DoubleLock-PT-p3s1,46,80,324
DoubleLock-PT-p3s2,112,744,3008
DoubleLock-PT-p3s3,306,3136,12672
DrinkVendingMachine-COL-02,6,7,28
DrinkVendingMachine-COL-10,6,7,28
DrinkVendingMachine-COL-16,6,7,28
DrinkVendingMachine-COL-24,6,7,28
DrinkVendingMachine-COL-48,6,7,28
DrinkVendingMachine-COL-76,6,7,28
DrinkVendingMachine-COL-98,6,7,28
DrinkVendingMachine-PT-02,24,72,440
DrinkVendingMachine-PT-10,120,111160,1026520
Echo-PT-d02r09,735,570,3220
Echo-PT-d02r11,1119,874,4996
Echo-PT-d02r15,2127,1674,9700
Echo-PT-d02r19,3455,2730,15940
Echo-PT-d03r03,265,206,1252
Echo-PT-d03r05,1445,1190,8260
Echo-PT-d03r07,4209,3518,25540
Echo-PT-d04r03,1019,850,6340
Echo-PT-d05r03,3717,3222,28404
EGFr-PT-02010,40,68,338
EGFr-PT-10420,208,378,3198
EGFr-PT-10421,208,378,3198
EisenbergMcGuire-PT-03,117,216,900
EisenbergMcGuire-PT-04,196,448,1952
EisenbergMcGuire-PT-05,295,800,3600
EisenbergMcGuire-PT-06,414,1296,5976
EisenbergMcGuire-PT-07,553,1960,9212
EisenbergMcGuire-PT-08,712,2816,13440
EisenbergMcGuire-PT-09,891,3888,18792
EisenbergMcGuire-PT-10,1090,5200,25400
Election2020-PT-none,53,102,204
EnergyBus-PT-none,157,4430,63389
Eratosthenes-PT-010,9,8,24
Eratosthenes-PT-020,19,27,81
Eratosthenes-PT-050,49,108,324
Eratosthenes-PT-100,99,283,849
Eratosthenes-PT-200,199,699,2097
Eratosthenes-PT-500,499,2191,6573
ERK-PT-000001,11,11,34
ERK-PT-000010,11,11,34
ERK-PT-000100,11,11,34
ERK-PT-001000,11,11,34
ERK-PT-010000,11,11,34
ERK-PT-100000,11,11,34
FamilyReunion-COL-L00010M0001C001P001G001,104,66,198
FamilyReunion-COL-L00020M0002C001P001G001,104,66,198
FamilyReunion-COL-L00050M0005C002P002G001,104,66,198
FamilyReunion-COL-L00100M0010C005P005G002,104,66,198
FamilyReunion-COL-L00200M0020C010P010G005,104,66,198
FamilyReunion-COL-L00400M0040C020P020G001,104,66,198
FamilyReunion-COL-L00800M0080C040P040G020,104,66,198
FamilyReunion-COL-L01200M0120C060P060G030,104,66,198
FamilyReunion-COL-L03000M0300G150P150G075,104,66,198
FamilyReunion-COL-L05000M0500C250P250G125,104,66,198
FamilyReunion-COL-L08000M0800C400P400G200,104,66,198
FamilyReunion-COL-L12000M1200C600P600G300,104,66,198
FamilyReunion-PT-L00010M0001C001P001G001,1475,1234,3799
FamilyReunion-PT-L00020M0002C001P001G001,3271,2753,8446
FamilyReunion-PT-L00050M0005C002P002G001,12194,10560,32238
FamilyReunion-PT-L00100M0010C005P005G002,40605,36871,112728
FamilyReunion-PT-L00200M0020C010P010G005,143908,134279,411469
FamilyReunion-PT-L00400M0040C020P020G001,537708,508489,1558729
FlexibleBarrier-PT-04a,51,88,309
FlexibleBarrier-PT-04b,268,305,743
FlexibleBarrier-PT-06a,75,154,599
FlexibleBarrier-PT-06b,542,621,1533
FlexibleBarrier-PT-08a,99,236,985
FlexibleBarrier-PT-08b,920,1057,2627
FlexibleBarrier-PT-10a,123,334,1467
FlexibleBarrier-PT-10b,1402,1613,4025
FlexibleBarrier-PT-12a,147,448,2045
FlexibleBarrier-PT-12b,1988,2289,5727
FlexibleBarrier-PT-14a,171,578,2719
FlexibleBarrier-PT-14b,2678,3085,7733
FlexibleBarrier-PT-16a,195,724,3489
FlexibleBarrier-PT-16b,3472,4001,10043
FlexibleBarrier-PT-18a,219,886,4355
FlexibleBarrier-PT-18b,4370,5037,12657
FlexibleBarrier-PT-20a,243,1064,5317
FlexibleBarrier-PT-20b,5372,6193,15575
FlexibleBarrier-PT-22a,267,1258,6375
FlexibleBarrier-PT-22b,6478,7469,18797
FMS-PT-00002,22,20,50
FMS-PT-00005,22,20,50
FMS-PT-00010,22,20,50
FMS-PT-00020,22,20,50
FMS-PT-00050,22,20,50
FMS-PT-00100,22,20,50
FMS-PT-00200,22,20,50
FMS-PT-00500,22,20,50
FMS-PT-01000,22,20,50
FMS-PT-02000,22,20,50
FMS-PT-05000,22,20,50
FMS-PT-10000,22,20,50
FMS-PT-20000,22,20,50
FMS-PT-50000,22,20,50
FunctionPointer-PT-a002,40,70,284
FunctionPointer-PT-a004,40,70,284
FunctionPointer-PT-a008,40,70,284
FunctionPointer-PT-a016,40,70,284
FunctionPointer-PT-a032,40,70,284
FunctionPointer-PT-a064,40,70,284
FunctionPointer-PT-a128,40,70,284
FunctionPointer-PT-b002,306,840,3392
FunctionPointer-PT-b004,306,840,3392
FunctionPointer-PT-b008,306,840,3392
FunctionPointer-PT-b016,306,840,3392
FunctionPointer-PT-b032,306,840,3392
FunctionPointer-PT-b064,306,840,3392
FunctionPointer-PT-b128,306,840,3392
FunctionPointer-PT-c002,2826,8960,36096
FunctionPointer-PT-c004,2826,8960,36096
FunctionPointer-PT-c008,2826,8960,36096
FunctionPointer-PT-c016,2826,8960,36096
FunctionPointer-PT-c032,2826,8960,36096
FunctionPointer-PT-c064,2826,8960,36096
FunctionPointer-PT-c128,2826,8960,36096
GlobalResAllocation-COL-03,5,7,29
GlobalResAllocation-COL-05,5,7,29
GlobalResAllocation-COL-06,5,7,29
GlobalResAllocation-COL-07,5,7,29
GlobalResAllocation-COL-09,5,7,29
GlobalResAllocation-COL-10,5,7,29
GlobalResAllocation-COL-11,5,7,29
GlobalResAllocation-PT-03,33,4791,38652
GlobalResAllocation-PT-05,75,56105,492760
GPPP-PT-C0001N0000000001,33,22,83
GPPP-PT-C0001N0000000010,33,22,83
GPPP-PT-C0001N0000000100,33,22,83
GPPP-PT-C0001N0000001000,33,22,83
GPPP-PT-C0001N0000010000,33,22,83
GPPP-PT-C0001N0000100000,33,22,83
